阿姨	阿姨	a1yi2	āyí	dì; cô (gọi phụ nữ lớn tuổi); bảo mẫu
矮	矮	ai3	ǎi	thấp; lùn
矮小	矮小	ai3xiao3	ǎixiǎo	thấp bé; nhỏ thấp
爱国	愛國	ai4guo2	àiguó	yêu nước
爱护	愛護	ai4hu4	àihù	yêu quý giữ gìn; chăm sóc bảo vệ
安	安	an1	ān	yên; bình an; làm cho yên lòng
安置	安置	an1zhi4	ānzhì	sắp xếp chỗ ở; bố trí; an trí
按时	按時	an4shi2	ànshí	đúng giờ; đúng hạn
暗	暗	an4	àn	tối; ngầm; kín đáo
暗示	暗示	an4shi4	ànshì	ám chỉ; gợi ý ngầm
巴士	巴士	ba1shi4	bāshì	xe buýt
百货	百貨	bai3huo4	bǎihuò	bách hoá; hàng hoá tổng hợp
摆	擺	bai3	bǎi	bày; sắp đặt; lắc lư
摆动	擺動	bai3dong4	bǎidòng	đung đưa; lắc lư
摆脱	擺脫	bai3tuo1	bǎituō	thoát khỏi; rũ bỏ
败	敗	bai4	bài	thua; thất bại; đánh bại
办事	辦事	ban4shi4	bànshì	làm việc; giải quyết công việc
包裹	包裹	bao1guo3	bāoguǒ	bưu kiện; gói lại
包含	包含	bao1han2	bāohán	bao hàm; chứa đựng
包括	包括	bao1kuo4	bāokuò	bao gồm; kể cả
薄	薄	bo2	bó	mỏng; ít ỏi; bạc bẽo
宝	寶	bao3	bǎo	của quý; báu vật; quý báu
宝宝	寶寶	bao3bao5	bǎobao	em bé; cục cưng
宝贝	寶貝	bao3bei4	bǎobèi	báu vật; cục cưng
宝贵	寶貴	bao3gui4	bǎoguì	quý báu; quý giá
宝石	寶石	bao3shi2	bǎoshí	đá quý; bảo thạch
保密	保密	bao3mi4	bǎomì	giữ bí mật; bảo mật
保守	保守	bao3shou3	bǎoshǒu	bảo thủ; giữ gìn (bí mật)
抱	抱	bao4	bào	ôm; bế; bồng
背景	背景	bei4jing3	bèijǐng	bối cảnh; hậu cảnh; thế lực chống lưng
倍	倍	bei4	bèi	lần; gấp bội
被迫	被迫	bei4po4	bèipò	bị ép buộc; bị bắt buộc
本科	本科	ben3ke1	běnkē	hệ đại học chính quy; bậc cử nhân
笨	笨	ben4	bèn	ngu; đần; vụng về
比分	比分	bi3fen1	bǐfēn	tỉ số (trận đấu)
毕业	畢業	bi4ye4	bìyè	tốt nghiệp
毕业生	畢業生	bi4ye4sheng1	bìyèshēng	sinh viên tốt nghiệp; học sinh tốt nghiệp
避	避	bi4	bì	tránh; né tránh
避免	避免	bi4mian3	bìmiǎn	tránh; tránh khỏi; ngăn ngừa
编	編	bian1	biān	đan; tết; biên soạn; bịa ra
辩论	辯論	bian4lun4	biànlùn	tranh luận; biện luận
标志	標誌	biao1zhi4	biāozhì	dấu hiệu; biểu tượng; đánh dấu
表情	表情	biao3qing2	biǎoqíng	nét mặt; biểu cảm
表扬	表揚	biao3yang2	biǎoyáng	tuyên dương; khen ngợi
冰	冰	bing1	bīng	băng; đá; ướp lạnh
冰箱	冰箱	bing1xiang1	bīngxiāng	tủ lạnh
冰雪	冰雪	bing1xue3	bīngxuě	băng tuyết
兵	兵	bing1	bīng	lính; binh sĩ; quân đội
不要紧	不要緊	bu4yao4jin3	bùyàojǐn	không sao; không hề gì
不在乎	不在乎	bu4zai4hu5	bùzàihu	không để ý; không quan tâm
不管	不管	bu4guan3	bùguǎn	bất kể; dù cho; mặc kệ
不然	不然	bu4ran2	bùrán	nếu không; không thì
布置	佈置	bu4zhi4	bùzhì	bố trí; sắp xếp; trang trí
步行	步行	bu4xing2	bùxíng	đi bộ
擦	擦	ca1	cā	lau; chùi; xoa; bôi
材料	材料	cai2liao4	cáiliào	vật liệu; tư liệu; tài liệu
财产	財產	cai2chan3	cáichǎn	tài sản
财富	財富	cai2fu4	cáifù	của cải; tài sản
