啊	啊	a5	a	(trợ từ ngữ khí cuối câu, tỏ ý nhấn mạnh hoặc cảm thán)
爱情	愛情	ai4qing2	àiqíng	tình yêu (nam nữ); ái tình
爱人	愛人	ai4ren5	àiren	vợ; chồng; người yêu
安静	安靜	an1jing4	ānjìng	yên tĩnh; yên lặng
安全	安全	an1quan2	ānquán	an toàn
白色	白色	bai2se4	báisè	màu trắng
班长	班長	ban1zhang3	bānzhǎng	lớp trưởng; tổ trưởng
办	辦	ban4	bàn	làm; xử lý; giải quyết
办法	辦法	ban4fa3	bànfǎ	cách; biện pháp
办公室	辦公室	ban4gong1shi4	bàngōngshì	văn phòng
半夜	半夜	ban4ye4	bànyè	nửa đêm
帮助	幫助	bang1zhu4	bāngzhù	giúp đỡ; sự giúp đỡ
饱	飽	bao3	bǎo	no
报名	報名	bao4ming2	bàomíng	đăng ký; ghi danh
报纸	報紙	bao4zhi3	bàozhǐ	báo; tờ báo
北方	北方	bei3fang1	běifāng	phương Bắc; miền Bắc
背	背	bei1, bei4	bēi, bèi	cõng; vác | lưng
比如	比如	bi3ru2	bǐrú	ví dụ; chẳng hạn
比如说	比如說	bi3ru2shuo1	bǐrúshuō	ví dụ như; chẳng hạn như
笔	筆	bi3	bǐ	bút
笔记	筆記	bi3ji4	bǐjì	ghi chép; bút ký
笔记本	筆記本	bi3ji4ben3	bǐjìběn	vở; sổ tay; máy tính xách tay
必须	必須	bi4xu1	bìxū	phải; bắt buộc phải
边	邊	bian1	biān	bên; cạnh; rìa
变	變	bian4	biàn	biến đổi; thay đổi
变成	變成	bian4cheng2	biànchéng	biến thành; trở thành
遍	遍	bian4	biàn	(lượng từ) lần (trọn một lượt); khắp nơi
表	表	biao3	biǎo	bảng; biểu; đồng hồ đeo tay
表示	表示	biao3shi4	biǎoshì	biểu thị; bày tỏ; tỏ ý
不错	不錯	bu4cuo4	bùcuò	khá tốt; không tệ; đúng vậy
不但	不但	bu4dan4	bùdàn	không những; không chỉ
不够	不夠	bu4gou4	bùgòu	không đủ
不过	不過	bu4guo4	bùguò	nhưng; chẳng qua; chỉ có điều
不太	不太	bu4tai4	bùtài	không lắm; không mấy
不要	不要	bu4yao4	bùyào	đừng; không được
不好意思	不好意思	bu4hao3yi4si5	bùhǎoyìsi	ngại; ngượng; xin lỗi (vì làm phiền)
不久	不久	bu4jiu3	bùjiǔ	không lâu; chẳng bao lâu
不满	不滿	bu4man3	bùmǎn	không hài lòng; bất mãn
不如	不如	bu4ru2	bùrú	không bằng; chi bằng
不少	不少	bu4shao3	bùshǎo	không ít; khá nhiều
不同	不同	bu4tong2	bùtóng	khác nhau; không giống
不行	不行	bu4xing2	bùxíng	không được; không xong
不一定	不一定	bu4yi1ding4	bùyīdìng	không nhất định; chưa chắc
