阿姨	阿姨	a1yi2	āyí	maternal aunt; step-mother; childcare worker
矮	矮	ai3	ǎi	low; short (in length)
矮小	矮小	ai3xiao3	ǎixiǎo	short and small; low and small; undersized
爱国	愛國	ai4guo2	àiguó	to love one's country; patriotic
爱护	愛護	ai4hu4	àihù	to cherish; to treasure; to take care of
安	安	an1	ān	(bound form) calm; peaceful; to calm; to set at ease; safe; secure; in good health
安置	安置	an1zhi4	ānzhì	to find a place for; to help settle down; to arrange for
按时	按時	an4shi2	ànshí	on time; before deadline; on schedule
暗	暗	an4	àn	dark; to turn dark; secret; hidden
暗示	暗示	an4shi4	ànshì	to hint; to suggest; hint; suggestion
巴士	巴士	ba1shi4	bāshì	bus (loanword); motor coach
百货	百貨	bai3huo4	bǎihuò	general merchandise
摆	擺	bai3	bǎi	to arrange; to exhibit; to move to and fro
摆动	擺動	bai3dong4	bǎidòng	to sway; to swing; to move back and forth
摆脱	擺脫	bai3tuo1	bǎituō	to break away from; to cast off (old ideas etc); to get rid of
败	敗	bai4	bài	to defeat; to damage; to lose (to an opponent)
办事	辦事	ban4shi4	bànshì	to handle (affairs); to work
包裹	包裹	bao1guo3	bāoguǒ	to wrap up; to bind up; bundle
包含	包含	bao1han2	bāohán	to contain; to embody; to include
包括	包括	bao1kuo4	bāokuò	to comprise; to include; to involve
薄	薄	bo2	bó	meager; slight; weak
宝	寶	bao3	bǎo	jewel; gem; treasure
宝宝	寶寶	bao3bao5	bǎobao	darling; baby
宝贝	寶貝	bao3bei4	bǎobèi	treasured object; treasure; darling
宝贵	寶貴	bao3gui4	bǎoguì	valuable; precious; to value
宝石	寶石	bao3shi2	bǎoshí	precious stone; gem
保密	保密	bao3mi4	bǎomì	to keep sth confidential; to maintain secrecy
保守	保守	bao3shou3	bǎoshǒu	conservative; to guard; to keep
抱	抱	bao4	bào	to hold; to carry (in one's arms); to hug
背景	背景	bei4jing3	bèijǐng	background; backdrop; context; (fig.) powerful backer
倍	倍	bei4	bèi	(two, three etc) -fold; times (multiplier); double
被迫	被迫	bei4po4	bèipò	to be compelled; to be forced
本科	本科	ben3ke1	běnkē	undergraduate course; undergraduate (attributive)
笨	笨	ben4	bèn	stupid; foolish; silly
比分	比分	bi3fen1	bǐfēn	score
毕业	畢業	bi4ye4	bìyè	graduation; to graduate; to finish school
毕业生	畢業生	bi4ye4sheng1	bìyèshēng	graduate
避	避	bi4	bì	to avoid; to shun; to flee
避免	避免	bi4mian3	bìmiǎn	to avert; to prevent; to avoid
编	編	bian1	biān	to weave; to plait; to organize
辩论	辯論	bian4lun4	biànlùn	debate; argument; to argue over
标志	標誌	biao1zhi4	biāozhì	sign; mark; symbol
表情	表情	biao3qing2	biǎoqíng	(facial) expression; to express one's feelings
表扬	表揚	biao3yang2	biǎoyáng	to praise; to commend
冰	冰	bing1	bīng	ice; to chill sth; (of an object or substance) to feel cold
冰箱	冰箱	bing1xiang1	bīngxiāng	icebox; freezer cabinet; refrigerator
冰雪	冰雪	bing1xue3	bīngxuě	ice and snow
兵	兵	bing1	bīng	soldiers; a force; an army
不要紧	不要緊	bu4yao4jin3	bùyàojǐn	unimportant; not serious; it doesn't matter
不在乎	不在乎	bu4zai4hu5	bùzàihu	not to care
不管	不管	bu4guan3	bùguǎn	not to be concerned; regardless of; no matter
不然	不然	bu4ran2	bùrán	not so; no; or else
布置	佈置	bu4zhi4	bùzhì	to put in order; to arrange; to decorate
步行	步行	bu4xing2	bùxíng	to go on foot; to walk
擦	擦	ca1	cā	to rub; to scratch; to towel; to wipe with a towel; to apply (lipstick, lotion etc)
材料	材料	cai2liao4	cáiliào	(raw) material; data; (fig.) person who has the potential to do the job
财产	財產	cai2chan3	cáichǎn	property; assets; estate
财富	財富	cai2fu4	cáifù	wealth; riches
采访	採訪	cai3fang3	cǎifǎng	to interview; to gather news; to hunt for and collect
参考	參考	can1kao3	cānkǎo	consultation; reference; to consult
参与	參與	can1yu4	cānyù	to participate (in sth)
操场	操場	cao1chang3	cāochǎng	playground; sports field; drill ground
操作	操作	cao1zuo4	cāozuò	to work; to operate; to manipulate
