爱心	愛心	ai4xin1	àixīn	compassion; kindness; care for others
安排	安排	an1pai2	ānpái	to arrange; to plan; to set up
安装	安裝	an1zhuang1	ānzhuāng	to install; to erect; to fix
按	按	an4	àn	to press; to push; to leave aside or shelve
按照	按照	an4zhao4	ànzhào	according to; in accordance with; in the light of
把	把	ba3	bǎ	(marks a preposed object, the ba-construction) | measure word for objects with a handle
把握	把握	ba3wo4	bǎwò	to grasp (also fig.); to seize; to hold
白菜	白菜	bai2cai4	báicài	Chinese cabbage; pak choi
班级	班級	ban1ji2	bānjí	class (group of students); grade (in school)
搬	搬	ban1	bān	to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift
搬家	搬家	ban1jia1	bānjiā	to move house; to relocate; to remove (sth)
板	板	ban3	bǎn	board; plank; plate
办理	辦理	ban4li3	bànlǐ	to handle; to transact; to conduct
保	保	bao3	bǎo	to defend; to protect; to keep; to guarantee; to ensure; civil administration unit in the baojia 甲 system (old)
保安	保安	bao3an1	bǎoān	to ensure public security; to ensure safety (for workers engaged in production); public security
保持	保持	bao3chi2	bǎochí	to keep; to maintain; to hold
保存	保存	bao3cun2	bǎocún	to conserve; to preserve; to keep
保护	保護	bao3hu4	bǎohù	to protect; to defend; to safeguard
保留	保留	bao3liu2	bǎoliú	to keep; to retain; to have reservations (about sth)
保险	保險	bao3xian3	bǎoxiǎn	insurance; to insure; safe
保证	保證	bao3zheng4	bǎozhèng	guarantee; to guarantee; to ensure
报	報	bao4	bào	to announce; to inform; report
报到	報到	bao4dao4	bàodào	to report for duty; to check in; to register
报道	報道	bao4dao4	bàodào	to report (news); report
报告	報告	bao4gao4	bàogào	to inform; to report; to make known
北部	北部	bei3bu4	běibù	northern part
背后	背後	bei4hou4	bèihòu	behind; at the back; in the rear
被	被	bei4	bèi	quilt; to cover (with); (literary) to suffer (a misfortune)
被子	被子	bei4zi5	bèizi	quilt
本来	本來	ben3lai2	běnlái	original; originally; at first
本领	本領	ben3ling3	běnlǐng	skill; ability; capability
本事	本事	ben3shi4	běnshì	source material; original story
比较	比較	bi3jiao4	bǐjiào	to compare; to contrast; comparatively
比例	比例	bi3li4	bǐlì	proportion; scale
比赛	比賽	bi3sai4	bǐsài	competition (sports etc); match; to compete
必然	必然	bi4ran2	bìrán	inevitable; certain; necessity
必要	必要	bi4yao4	bìyào	necessary; essential; indispensable
变化	變化	bian4hua4	biànhuà	(intransitive) to change; to vary; change; variation
变为	變為	bian4wei2	biànwéi	to change into
标题	標題	biao1ti2	biāotí	title; heading; headline
标准	標準	biao1zhun3	biāozhǔn	standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard
表达	表達	biao3da2	biǎodá	to express; to convey
表格	表格	biao3ge2	biǎogé	form; table
表面	表面	biao3mian4	biǎomiàn	surface; face; outside
表明	表明	biao3ming2	biǎomíng	to make clear; to make known; to state clearly
表现	表現	biao3xian4	biǎoxiàn	to show; to show off; to display
表演	表演	biao3yan3	biǎoyǎn	play; show; performance
并	並	bing4	bìng	and; furthermore; also
并且	並且	bing4qie3	bìngqiě	and; besides; moreover
播出	播出	bo1chu1	bōchū	to broadcast; to air (a TV program etc)
播放	播放	bo1fang4	bōfàng	to broadcast; to transmit (by radio or TV)
不必	不必	bu4bi4	bùbì	need not; does not have to; not necessarily
不断	不斷	bu4duan4	bùduàn	unceasing; uninterrupted; continuous
不论	不論	bu4lun4	bùlùn	whatever; no matter what (who, how etc); regardless of
