爱心	愛心	ai4xin1	àixīn	lòng nhân ái; tình thương
安排	安排	an1pai2	ānpái	sắp xếp; bố trí
安装	安裝	an1zhuang1	ānzhuāng	lắp đặt; cài đặt
按	按	an4	àn	ấn; bấm; nhấn
按照	按照	an4zhao4	ànzhào	theo; chiếu theo; căn cứ vào
把	把	ba3	bǎ	(giới từ đưa tân ngữ lên trước động từ) | (lượng từ) cái (đồ vật có tay cầm)
把握	把握	ba3wo4	bǎwò	nắm chắc; nắm bắt; sự chắc chắn
白菜	白菜	bai2cai4	báicài	cải thảo
班级	班級	ban1ji2	bānjí	lớp học; lớp
搬	搬	ban1	bān	khiêng; chuyển; dọn
搬家	搬家	ban1jia1	bānjiā	chuyển nhà; dọn nhà
板	板	ban3	bǎn	tấm ván; tấm bảng
办理	辦理	ban4li3	bànlǐ	làm (thủ tục); giải quyết; xử lý
保	保	bao3	bǎo	bảo vệ; giữ gìn; đảm bảo
保安	保安	bao3an1	bǎoān	bảo vệ (nhân viên); giữ gìn an ninh
保持	保持	bao3chi2	bǎochí	giữ; duy trì
保存	保存	bao3cun2	bǎocún	bảo quản; lưu giữ; lưu (tập tin)
保护	保護	bao3hu4	bǎohù	bảo vệ
保留	保留	bao3liu2	bǎoliú	giữ lại; bảo lưu; dè dặt
保险	保險	bao3xian3	bǎoxiǎn	bảo hiểm; an toàn
保证	保證	bao3zheng4	bǎozhèng	bảo đảm; cam đoan
报	報	bao4	bào	báo cáo; đưa tin; tờ báo
报到	報到	bao4dao4	bàodào	đến trình diện; làm thủ tục nhập học (nhận việc)
报道	報道	bao4dao4	bàodào	đưa tin; bài đưa tin; phóng sự
报告	報告	bao4gao4	bàogào	báo cáo; thông báo
北部	北部	bei3bu4	běibù	miền bắc; phía bắc
背后	背後	bei4hou4	bèihòu	phía sau; sau lưng
被	被	bei4	bèi	(trợ từ bị động) bị; được; cái chăn
被子	被子	bei4zi5	bèizi	cái chăn; cái mền
